from,to,weight,confidence,interaction_type,evidence_type,reference
D1,P1,3,0.80,positive,expert_assessment,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
D2,P1,2,0.65,positive,expert_assessment,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
D2,P2,2,0.70,positive,expert_assessment,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
D3,P1,2,0.70,positive,expert_assessment,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
D4,P1,2,0.65,positive,expert_assessment,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
D4,P2,1,0.55,positive,expert_assessment,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
P1,S2,3,0.85,negative,monitoring,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
P1,S3,2,0.80,negative,monitoring,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
P1,S4,2,0.65,negative,observational,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
P2,S1,3,0.85,negative,monitoring,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
P2,S4,2,0.70,negative,observational,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
S2,I1,3,0.80,negative,observational,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
S3,I1,2,0.70,negative,observational,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
S2,I3,2,0.70,negative,expert_assessment,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
S1,I2,3,0.80,negative,observational,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
S4,I2,2,0.75,negative,observational,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
I1,R1,2,0.50,positive,policy_document,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
I1,R3,2,0.50,positive,policy_document,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
I2,R1,2,0.55,positive,policy_document,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
I3,R4,2,0.50,positive,policy_document,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
R1,P1,2,0.70,negative,management_plan,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
R1,S2,3,0.80,positive,monitoring,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
R1,S1,2,0.65,positive,monitoring,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
R2,P2,3,0.75,negative,management_plan,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
R3,P1,2,0.65,negative,management_plan,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
R3,P2,3,0.75,negative,management_plan,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
R4,D4,2,0.60,negative,management_plan,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
R4,D2,1,0.55,negative,expert_assessment,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
R4,P1,2,0.60,negative,expert_assessment,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
R5,P1,2,0.60,negative,management_plan,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
R5,P2,2,0.65,negative,management_plan,Mangi et al. 2007 (10.1016/j.ocecoaman.2006.10.003)
