id,label,dpsir_category,subsystem,uncertainty,controllability,self_regulation,growth_rate,reference_value,activation_threshold
D1,Coastal population growth,Driver,Socioeconomic,medium,low,0,0,1,
D2,Poverty and low fisher income,Driver,Socioeconomic,medium,low,0,0,1,
D3,Market demand for reef fish,Driver,Economy,medium,low,0,0,1,
D4,Lack of alternative livelihoods,Driver,Socioeconomic,medium,medium,0,0,1,
P1,Fishing effort,Pressure,Fisheries,medium,medium,0,0,1,
P2,Destructive and illegal gear use,Pressure,Fisheries,medium,medium,0,0,1,
S1,Coral degradation,State,Habitat,high,low,0.3,0,1,
S2,Fish stock decline,State,Fisheries,high,low,0.3,0,1,
S3,Loss of large high-trophic fish,State,Fisheries,high,low,0.2,0,1,
S4,Biodiversity decline,State,Biodiversity,high,low,0.2,0,1,
I1,Catch decline (reduced CPUE),Impact,Fisheries,medium,medium,0,0,1,
I2,Reef ecosystem degradation,Impact,Biodiversity,high,low,0,0,1,
I3,Food insecurity and income loss,Impact,Economy,medium,medium,0,0,1,
R1,Marine protected areas (closures),Response,Governance,low,high,0,0,1,
R2,Gear restrictions,Response,Governance,low,high,0,0,1,
R3,Enforcement and regulation,Response,Governance,medium,high,0,0,1,
R4,Alternative livelihood programmes,Response,Socioeconomic,medium,high,0,0,1,
R5,Community co-management,Response,Governance,medium,high,0,0,1,
