from,to,weight,confidence,interaction_type,evidence_type,reference
D1,P1,3,0.80,positive,expert_assessment,
D1,P2,2,0.75,positive,expert_assessment,
P1,S1,3,0.85,negative,monitoring,
P1,S2,2,0.70,negative,monitoring,
P2,S2,3,0.80,negative,monitoring,
P2,S3,2,0.70,negative,expert_assessment,
S1,I3,2,0.75,positive,epidemiological,
S2,I1,3,0.80,positive,observational,
S2,I2,3,0.85,positive,monitoring,
S3,I1,2,0.70,positive,observational,
I1,R1,2,0.70,positive,policy_document,
I2,R1,3,0.80,positive,policy_document,
I3,R1,2,0.65,positive,policy_document,
R1,D1,1,0.60,negative,management_plan,
R1,P1,2,0.75,negative,management_plan,
R1,P2,3,0.80,negative,management_plan,
